CODGEO,LIBGEO,AGEMEN700_TDM8100,AGEMEN700_TDM8200,AGEMEN700_TDM8310,AGEMEN700_TDM8300,AGEMEN700_TDM8410,AGEMEN700_TDM8420,AGEMEN700_TDM8500,AGEMEN720_TDM8100,AGEMEN720_TDM8200,AGEMEN720_TDM8310,AGEMEN720_TDM8300,AGEMEN720_TDM8410,AGEMEN720_TDM8420,AGEMEN720_TDM8500,AGEMEN725_TDM8100,AGEMEN725_TDM8200,AGEMEN725_TDM8310,AGEMEN725_TDM8300,AGEMEN725_TDM8410,AGEMEN725_TDM8420,AGEMEN725_TDM8500,AGEMEN740_TDM8100,AGEMEN740_TDM8200,AGEMEN740_TDM8310,AGEMEN740_TDM8300,AGEMEN740_TDM8410,AGEMEN740_TDM8420,AGEMEN740_TDM8500,AGEMEN755_TDM8100,AGEMEN755_TDM8200,AGEMEN755_TDM8310,AGEMEN755_TDM8300,AGEMEN755_TDM8410,AGEMEN755_TDM8420,AGEMEN755_TDM8500,AGEMEN765_TDM8100,AGEMEN765_TDM8200,AGEMEN765_TDM8310,AGEMEN765_TDM8300,AGEMEN765_TDM8410,AGEMEN765_TDM8420,AGEMEN765_TDM8500,AGEMEN780_TDM8100,AGEMEN780_TDM8200,AGEMEN780_TDM8310,AGEMEN780_TDM8300,AGEMEN780_TDM8410,AGEMEN780_TDM8420,AGEMEN780_TDM8500
35001,Acigné,5,0,0,0,0,0,0,25,25,10,0,5,0,0,205,135,200,10,20,50,10,225,90,440,35,45,170,10,200,220,145,0,10,45,10,130,310,15,5,0,0,0,130,60,0,0,0,0,0
35022,Bécherel,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,10,9,9,0,5,5,62,5,38,0,0,5,0,26,20,9,0,0,0,0,41,20,5,0,0,0,0,15,15,0,0,0,0,0
35024,Betton,5,0,0,0,0,1,0,122,40,13,0,0,11,6,483,264,369,38,8,73,24,316,119,779,47,59,251,13,339,440,232,17,19,43,4,321,621,48,0,4,0,0,208,145,10,0,0,0,12
35032,Bourgbarré,0,0,0,0,0,0,0,14,19,0,0,0,5,0,145,60,189,34,14,43,5,113,51,342,34,38,52,5,68,168,81,5,5,19,10,91,172,5,0,0,0,0,27,14,0,0,0,0,5
35039,Brécé,0,0,0,0,0,0,0,12,6,0,0,6,0,0,52,22,62,5,6,28,6,29,22,208,5,16,27,0,46,88,42,0,0,16,0,29,72,0,0,0,0,0,29,6,0,0,0,0,0
35047,Bruz,338,0,0,0,7,0,20,721,76,19,0,4,28,33,814,312,574,63,39,199,34,568,176,1026,105,109,332,10,615,632,304,20,28,81,36,543,721,62,0,0,13,6,339,234,0,0,4,0,4
35051,Cesson-Sévigné,225,5,0,0,0,0,9,689,99,1,0,0,7,67,1027,429,407,37,17,125,62,521,133,876,79,100,288,15,421,448,323,15,41,52,12,581,839,52,0,0,9,15,535,431,4,4,0,12,0
35055,Chantepie,20,3,0,0,3,0,8,159,49,0,0,5,14,16,498,237,279,44,28,118,43,427,80,433,75,69,209,8,329,306,129,21,24,33,12,380,450,12,0,0,3,0,211,140,0,0,0,3,4
35058,La Chapelle-Chaussée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,29,70,5,10,5,0,19,14,107,10,10,5,0,9,29,25,0,0,0,0,28,48,0,0,0,0,0,28,14,0,0,0,0,0
35059,La Chapelle-des-Fougeretz,0,0,0,0,0,0,0,26,5,0,0,5,10,5,98,101,153,15,15,70,5,123,36,281,49,25,55,0,113,137,75,5,5,30,0,87,238,10,0,0,0,0,67,61,0,0,0,0,0
35065,La Chapelle-Thouarault,0,0,0,0,0,0,0,0,0,0,0,0,5,0,36,15,105,5,5,15,10,56,20,140,10,20,36,10,67,76,35,0,0,0,0,51,163,0,0,0,0,5,26,31,0,0,0,0,0
35066,Chartres-de-Bretagne,19,5,0,0,0,0,0,159,96,0,0,0,5,5,443,254,228,19,10,100,29,323,53,342,90,52,139,14,270,163,143,19,14,19,0,342,456,5,0,0,0,0,159,163,5,0,0,0,0
35076,Chavagne,9,0,0,0,0,0,0,45,14,0,0,0,0,0,113,91,144,14,5,32,9,140,41,266,23,18,78,11,104,155,65,9,0,9,9,104,228,5,0,0,0,5,68,46,9,0,0,0,5
35079,Chevaigné,5,0,0,0,0,0,0,5,0,0,0,0,0,0,21,26,125,10,5,5,0,73,46,150,30,10,51,5,78,108,50,0,0,5,0,21,57,10,0,0,0,0,26,21,0,0,0,0,0
35080,Cintré,0,0,0,0,0,0,0,5,0,0,0,0,16,0,21,31,84,11,5,10,5,36,31,241,32,21,26,0,57,68,52,0,0,16,5,36,89,10,0,0,0,0,10,16,0,0,0,0,0
35081,Clayes,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,16,47,5,0,5,0,11,22,73,10,11,5,0,11,22,10,0,5,5,0,22,43,0,0,0,0,0,6,5,0,0,0,0,0
35088,Corps-Nuds,0,0,0,0,0,0,5,19,10,5,0,0,0,0,56,57,91,5,10,24,5,74,24,272,31,10,49,6,107,143,44,0,19,10,10,88,153,10,0,0,0,0,46,38,5,0,0,0,0
35120,Gévezé,11,0,0,0,0,0,0,40,17,5,0,0,0,11,164,128,371,16,11,55,11,147,61,392,37,27,104,6,73,155,49,0,0,0,0,141,216,5,0,0,0,0,113,72,5,0,0,0,0
35131,L'Hermitage,11,0,0,0,0,0,0,80,10,0,0,5,0,0,125,89,145,19,10,60,10,163,78,257,38,20,81,0,97,125,59,5,0,5,4,141,245,5,5,0,0,0,87,89,0,0,0,5,0
35139,Laillé,5,0,0,0,0,0,0,32,0,0,0,0,5,0,85,41,215,5,5,36,0,117,67,439,39,35,76,0,96,175,54,10,15,20,0,122,263,0,0,0,0,0,138,31,0,0,0,0,5
35144,Langan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,42,63,0,0,0,0,28,14,88,24,5,10,0,14,19,0,0,0,0,0,32,56,0,0,0,0,0,9,5,0,0,0,0,0
35180,Miniac-sous-Bécherel,0,0,0,0,0,0,0,0,5,0,0,0,0,6,9,15,16,5,0,5,0,14,10,65,16,5,5,0,14,15,16,0,0,0,0,19,40,0,0,0,0,0,14,10,0,0,0,0,0
35189,Montgermont,6,0,0,0,0,0,0,78,16,5,0,5,0,0,134,77,95,11,5,11,11,106,38,247,16,5,65,0,106,110,69,0,11,11,5,140,181,5,0,0,11,5,50,82,5,0,0,0,0
35196,Mordelles,20,0,0,0,0,0,0,75,45,0,0,0,0,15,276,166,171,20,15,90,0,251,80,426,60,30,120,10,221,231,125,0,10,50,5,396,401,25,0,0,0,0,191,176,5,0,5,0,0
35204,Nouvoitou,0,0,0,0,0,0,0,5,15,0,0,0,0,0,60,59,193,9,19,24,0,60,24,244,27,34,53,5,120,132,66,4,19,5,0,35,127,14,0,0,0,5,50,39,5,0,0,0,0
35206,Noyal-Châtillon-sur-Seiche,5,9,0,0,5,0,5,144,71,10,0,10,0,5,320,151,262,20,5,72,33,232,42,376,49,62,115,10,227,264,136,5,14,29,24,283,387,14,0,0,0,9,167,99,5,0,0,0,5
35208,Orgères,0,0,0,0,0,0,0,38,19,0,0,0,0,0,110,130,254,15,10,63,5,163,53,372,30,34,87,10,105,135,97,10,5,24,5,134,212,19,5,0,0,5,67,39,5,0,0,0,0
35210,Pacé,15,0,0,0,0,1,5,202,48,2,0,0,5,18,416,188,259,36,28,68,27,311,139,840,89,57,221,2,249,403,247,5,23,33,3,283,434,19,0,0,3,9,166,166,0,0,6,11,3
35216,Parthenay-de-Bretagne,0,0,0,0,0,0,0,10,15,0,0,0,0,0,26,41,105,5,0,15,0,47,5,134,25,15,20,0,31,51,40,5,0,0,0,21,21,0,0,0,0,0,10,15,0,0,0,0,0
35238,Rennes,6143,161,0,0,43,16,803,13949,1902,81,15,154,259,3045,16294,7542,4770,363,546,2323,2347,8705,1753,7575,827,1046,3412,386,6780,3256,2165,216,342,832,184,8618,5063,350,17,46,155,116,4985,2350,110,30,0,82,77
35240,Le Rheu,20,0,0,0,0,0,0,105,85,0,0,0,15,25,360,220,335,30,10,85,35,355,70,509,40,55,205,5,285,290,205,5,20,75,10,295,230,10,0,0,0,0,140,110,5,5,0,10,0
