code_residence,commune_residence,dep_residence,code_travail,commune_travail,dep_travail,flux,annee
34022,Baillargues,34,11023,Badens,11,5.04,2019
34022,Baillargues,34,11069,Carcassonne,11,10.08,2019
34022,Baillargues,34,11262,Narbonne,11,5.04,2019
34022,Baillargues,34,12096,Espalion,12,5.04,2019
34022,Baillargues,34,12174,Olemps,12,5.04,2019
34022,Baillargues,34,13001,Aix-en-Provence,13,5.04,2019
34022,Baillargues,34,13005,Aubagne,13,5.04,2019
34022,Baillargues,34,13026,Châteauneuf-les-Martigues,13,5.04,2019
34022,Baillargues,34,13100,Saint-Rémy-de-Provence,13,5.04,2019
34022,Baillargues,34,13108,Tarascon,13,5.04,2019
34022,Baillargues,34,13201,Marseille 1er Arrondissement,13,5.04,2019
34022,Baillargues,34,13203,Marseille 3e Arrondissement,13,5.04,2019
34022,Baillargues,34,13208,Marseille 8e Arrondissement,13,5.04,2019
34022,Baillargues,34,13213,Marseille 13e Arrondissement,13,10.08,2019
34022,Baillargues,34,21355,Longvic,21,5.04,2019
34022,Baillargues,34,26362,Valence,26,5.04,2019
34022,Baillargues,34,30003,Aigues-Mortes,30,5.04,2019
34022,Baillargues,34,30006,Aimargues,30,25.21,2019
34022,Baillargues,34,30028,Bagnols-sur-Cèze,30,5.04,2019
34022,Baillargues,34,30036,Bernis,30,5.04,2019
34022,Baillargues,34,30039,Bezouce,30,5.04,2019
34022,Baillargues,34,30047,Bouillargues,30,5.04,2019
34022,Baillargues,34,30123,Gallargues-le-Montueux,30,15.12,2019
34022,Baillargues,34,30125,Garons,30,5.04,2019
34022,Baillargues,34,30133,Le Grau-du-Roi,30,5.04,2019
34022,Baillargues,34,30156,Marguerittes,30,5.04,2019
34022,Baillargues,34,30189,Nîmes,30,54.7,2019
34022,Baillargues,34,30321,Sommières,30,5.04,2019
34022,Baillargues,34,30333,Uchaud,30,5.04,2019
34022,Baillargues,34,30344,Vergèze,30,10.08,2019
34022,Baillargues,34,31555,Toulouse,31,5.04,2019
34022,Baillargues,34,34014,Assas,34,5.04,2019
34022,Baillargues,34,34022,Baillargues,34,710.05,2019
34022,Baillargues,34,34032,Béziers,34,5.04,2019
34022,Baillargues,34,34050,Candillargues,34,5.04,2019
34022,Baillargues,34,34057,Castelnau-le-Lez,34,141.15,2019
34022,Baillargues,34,34058,Castries,34,39.57,2019
34022,Baillargues,34,34068,Cazouls-d'Hérault,34,10.08,2019
34022,Baillargues,34,34077,Clapiers,34,15.12,2019
34022,Baillargues,34,34090,Le Crès,34,58.98,2019
34022,Baillargues,34,34108,Frontignan,34,5.04,2019
34022,Baillargues,34,34116,Grabels,34,25.21,2019
34022,Baillargues,34,34120,Jacou,34,10.08,2019
34022,Baillargues,34,34123,Juvignac,34,14.37,2019
34022,Baillargues,34,34127,Lansargues,34,5.04,2019
34022,Baillargues,34,34129,Lattes,34,176.44,2019
34022,Baillargues,34,34145,Lunel,34,115.95,2019
34022,Baillargues,34,34146,Lunel-Viel,34,5.04,2019
34022,Baillargues,34,34151,Marsillargues,34,5.04,2019
34022,Baillargues,34,34154,Mauguio,34,145.44,2019
34022,Baillargues,34,34159,Mireval,34,5.04,2019
34022,Baillargues,34,34169,Montferrier-sur-Lez,34,10.08,2019
34022,Baillargues,34,34172,Montpellier,34,1067.97,2019
34022,Baillargues,34,34176,Mudaison,34,34.53,2019
34022,Baillargues,34,34192,Palavas-les-Flots,34,15.12,2019
34022,Baillargues,34,34198,Pérols,34,50.41,2019
34022,Baillargues,34,34199,Pézenas,34,5.04,2019
34022,Baillargues,34,34202,Pignan,34,10.08,2019
34022,Baillargues,34,34227,Restinclières,34,5.04,2019
34022,Baillargues,34,34240,Saint-Aunès,34,95.78,2019
34022,Baillargues,34,34244,Saint-Brès,34,20.16,2019
