commune_origine,dep_origine,code_origine,commune_destination,dep_destination,code_destination,flux,annee
Baillargues,34,34022,Digne-les-Bains,04,04070,5.04,2019
Baillargues,34,34022,Millau,12,12145,5.04,2019
Baillargues,34,34022,Saint-Affrique,12,12208,10.08,2019
Baillargues,34,34022,Vaucluse,25,25588,5.04,2019
Baillargues,34,34022,Nîmes,30,30189,29.49,2019
Baillargues,34,34022,Toulouse,31,31555,25.21,2019
Baillargues,34,34022,Pellegrue,33,33316,5.04,2019
Baillargues,34,34022,Pugnac,33,33341,5.04,2019
Baillargues,34,34022,Baillargues,34,34022,964.13,2019
Baillargues,34,34022,Béziers,34,34032,5.04,2019
Baillargues,34,34022,Castelnau-le-Lez,34,34057,95.78,2019
Baillargues,34,34022,Le Crès,34,34090,5.04,2019
Baillargues,34,34022,Jacou,34,34120,15.12,2019
Baillargues,34,34022,Lansargues,34,34127,10.08,2019
Baillargues,34,34022,Lattes,34,34129,10.08,2019
Baillargues,34,34022,Lunel,34,34145,131.07,2019
Baillargues,34,34022,Lunel-Viel,34,34146,5.04,2019
Baillargues,34,34022,Mauguio,34,34154,20.16,2019
Baillargues,34,34022,Montpellier,34,34172,378.09,2019
Baillargues,34,34022,Palavas-les-Flots,34,34192,10.08,2019
Baillargues,34,34022,Prades-le-Lez,34,34217,5.04,2019
Baillargues,34,34022,Saint-Aunès,34,34240,5.04,2019
Baillargues,34,34022,Saint-Brès,34,34244,5.04,2019
Baillargues,34,34022,Saint-Clément-de-Rivière,34,34247,5.04,2019
Baillargues,34,34022,Sète,34,34301,5.04,2019
Baillargues,34,34022,Vendargues,34,34327,5.04,2019
Baillargues,34,34022,Langogne,48,48080,5.04,2019
Baillargues,34,34022,Perpignan,66,66136,5.04,2019
Baillargues,34,34022,Lyon 8e Arrondissement,69,69388,5.04,2019
Baillargues,34,34022,Annecy,74,74010,5.04,2019
Baillargues,34,34022,Paris 5e Arrondissement,75,75105,5.04,2019
Baillargues,34,34022,Albi,81,81004,4.29,2019
Baillargues,34,34022,Rueil-Malmaison,92,92063,5.04,2019
Beaulieu,34,34027,Sommières,30,30321,14.93,2019
Beaulieu,34,34027,Baillargues,34,34022,10.3,2019
Beaulieu,34,34027,Beaulieu,34,34027,163.21,2019
Beaulieu,34,34027,Castries,34,34058,56.5,2019
Beaulieu,34,34027,Lattes,34,34129,5.09,2019
Beaulieu,34,34027,Lunel,34,34145,56.03,2019
Beaulieu,34,34027,Montaud,34,34164,10.18,2019
Beaulieu,34,34027,Montpellier,34,34172,46.8,2019
Beaulieu,34,34027,Restinclières,34,34227,5.21,2019
Beaulieu,34,34027,Saint-Geniès-des-Mourgues,34,34256,10.18,2019
Beaulieu,34,34027,Saint-Jean-de-Védas,34,34270,5.33,2019
Beaulieu,34,34027,Sussargues,34,34307,20.37,2019
Beaulieu,34,34027,Vendargues,34,34327,10.18,2019
Beaulieu,34,34027,La Grande-Motte,34,34344,4.98,2019
Castelnau-le-Lez,34,34057,Lézignan-Corbières,11,11203,2.73,2019
Castelnau-le-Lez,34,34057,Aix-en-Provence,13,13001,1.1,2019
Castelnau-le-Lez,34,34057,Marseille 8e Arrondissement,13,13208,5.59,2019
Castelnau-le-Lez,34,34057,Marseille 9e Arrondissement,13,13209,4.5,2019
Castelnau-le-Lez,34,34057,Lanvéoc,29,29120,15.0,2019
Castelnau-le-Lez,34,34057,Alès,30,30007,1.25,2019
Castelnau-le-Lez,34,34057,Beaucaire,30,30032,5.0,2019
Castelnau-le-Lez,34,34057,Lanuéjols,30,30139,0.91,2019
Castelnau-le-Lez,34,34057,Nîmes,30,30189,27.77,2019
Castelnau-le-Lez,34,34057,Toulouse,31,31555,6.16,2019
Castelnau-le-Lez,34,34057,Bordeaux,33,33063,1.1,2019
Castelnau-le-Lez,34,34057,Bouliac,33,33065,5.0,2019
Castelnau-le-Lez,34,34057,Gradignan,33,33192,10.0,2019
Castelnau-le-Lez,34,34057,Pessac,33,33318,5.0,2019
Castelnau-le-Lez,34,34057,Podensac,33,33327,5.0,2019
Castelnau-le-Lez,34,34057,Saint-Yzans-de-Médoc,33,33493,5.0,2019
Castelnau-le-Lez,34,34057,La Teste-de-Buch,33,33529,11.96,2019
Castelnau-le-Lez,34,34057,Agde,34,34003,2.5,2019
Castelnau-le-Lez,34,34057,Baillargues,34,34022,50.49,2019
Castelnau-le-Lez,34,34057,Beaulieu,34,34027,5.47,2019
Castelnau-le-Lez,34,34057,Bédarieux,34,34028,4.44,2019
