Identifiant_de_l_etablissement,Type_etablissement,Statut_public_prive,Type_contrat_prive,Nom_etablissement,Adresse_1,Adresse_2,Adresse_3,Code_postal,Code_commune,Nom_commune,Code_departement,Libelle_departement,Code_academie,Libelle_academie,Code_region,Libelle_region,Ecole_maternelle,Ecole_elementaire,Voie_generale,Voie_technologique,Voie_professionnelle,Telephone,Fax,Web,Mail,Restauration,Hebergement,ULIS,Lycee_des_metiers,Apprentissage,Segpa,Post_BAC,Section_arts,Section_cinema,Section_theatre,Section_sport,Section_internationale,Section_europeenne,Lycee_Agricole,Lycee_militaire,Nombre_d_eleves,GRETA,SIREN_SIRET,Fiche_onisep,Appartenance_Education_Prioritaire,coordX_origine,coordY_origine,epsg_origine,nom_circonscription,latitude,longitude,position,precision_localisation,date_ouverture,date_maj_ligne,etat,ministere_tutelle,multi_uai,rpi_concentre,rpi_disperse,code_nature,libelle_nature
0340270J,Ecole,Public,SANS OBJET,Ecole maternelle Rose de France,Allée Marie Curie ,,34170 CASTELNAU LE LEZ,34170,34057,Castelnau-le-Lez,34,Hérault,11,Montpellier,76,Occitanie,1.0,0.0,,,,0467720085,,,ce.0340270J@ac-montpellier.fr,1.0,0.0,0.0,,,,,,,,,,,,,211.0,,21340057500063,,,772727.9,6281921.4,EPSG:2154,Circonscription d'inspection du 1er degré de Castelnau le Lez,43.63260487305013,3.900973317983787,"43.632604873050134,3.900973317983787",Numéro de rue,1965-07-10,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0341339W,Ecole,Public,SANS OBJET,Ecole maternelle les Cigalous,Avenue de Saint Exupéry ,,34920 LE CRES,34920,34090,Le Crès,34,Hérault,11,Montpellier,76,Occitanie,1.0,0.0,,,,0467704954,,,ce.0341339W@ac-montpellier.fr,1.0,0.0,0.0,,,,,,,,,,,,,136.0,,21340090600052,,,776074.7,6284752.3,EPSG:2154,Circonscription d'inspection du 1er degré de Castelnau le Lez,43.65772375147264,3.942849280822193,"43.65772375147264,3.9428492808221933",Numéro de rue,1973-06-15,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0341347E,Ecole,Public,SANS OBJET,Ecole élémentaire Paul Painlevé,501 avenue de la Pompignane ,,34000 MONTPELLIER,34000,34172,Montpellier,34,Hérault,11,Montpellier,76,Occitanie,0.0,1.0,,,,0467658535,,,ce.0341347E@ac-montpellier.fr,1.0,0.0,0.0,,,,,,,,,,,,,171.0,,21340172201258,,,772547.0,6279421.5,EPSG:2154,Circonscription d'inspection du 1er degré de Montpellier Est,43.61013135307786,3.8983801387937502,"43.61013135307786,3.8983801387937502",Numéro de rue,1973-06-15,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0341402P,Ecole,Public,SANS OBJET,Ecole maternelle,Chemin du Mas de l'Huile ,,34980 MONTFERRIER SUR LEZ,34980,34169,Montferrier-sur-Lez,34,Hérault,11,Montpellier,76,Occitanie,1.0,0.0,,,,0467598269,,,ce.0341402P@ac-montpellier.fr,0.0,0.0,0.0,,,,,,,,,,,,,127.0,,21340169800021,,,768880.0,6285880.6,EPSG:2154,Circonscription d'inspection du 1er degré de Saint-Mathieu-de-Tréviers,43.66861206657671,3.8538386294141462,"43.668612066576706,3.8538386294141467",Numéro de rue,1975-06-10,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0341448P,Ecole,Public,SANS OBJET,Ecole maternelle les Sophoras,1  RUE DE LA FONT MARTIN ,,34470 PEROLS,34470,34198,Pérols,34,Hérault,11,Montpellier,76,Occitanie,1.0,0.0,,,,0467501473,,,ce.0341448P@ac-montpellier.fr,1.0,0.0,0.0,,,,,,,,,,,,,125.0,,21340198700036,,,776953.1,6274541.4,EPSG:2154,Circonscription d'inspection du 1er degré de Lattes,43.56576081164344,3.952208875248592,"43.56576081164344,3.9522088752485924",Numéro de rue,1976-05-20,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0342087J,Ecole,Privé,CONTRAT ASSOCIATION PARTIE DES CLASSES,Ecole primaire privee Beit Yossef,Rue Edouard Villalonga ,,34000 MONTPELLIER,34000,34172,Montpellier,34,Hérault,11,Montpellier,76,Occitanie,1.0,1.0,,,,0467225668,,,ce.0342087j@ac-montpellier.fr,1.0,0.0,0.0,,,,,,,,,,,,,,,42117392300028,,,773242.3,6279535.6,EPSG:2154,Circonscription d'inspection du 1er degré de Montpellier Est,43.61108640625161,3.90700580778192,"43.61108640625161,3.90700580778192",Rue,2002-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0342201H,Ecole,Public,SANS OBJET,Ecole primaire Margueritte Yourcenar,71 rue Jean-Joseph Laborde ,,34080 MONTPELLIER,34080,34172,Montpellier,34,Hérault,11,Montpellier,76,Occitanie,1.0,1.0,,,,0467570690,,,ce.0342201H@ac-montpellier.fr,0.0,0.0,0.0,,,,,,,,,,,,,215.0,,21340172201670,,,767075.8,6282033.6,EPSG:2154,Circonscription d'inspection du 1er degré de Montpellier Nord,43.63417209981396,3.8309735558559055,"43.63417209981396,3.8309735558559064",Numéro de rue,2006-09-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0341209E,Ecole,Privé,CONTRAT D'ASSOCIATION TOUTES CLASSES,Ecole primaire privée les Jonquilles - La Salle,255 rue Croix de Figuerolles ,,34070 MONTPELLIER,34070,34172,Montpellier,34,Hérault,11,Montpellier,76,Occitanie,1.0,1.0,,,,0467043253,,,ce.0341209e@ac-montpellier.fr,1.0,0.0,0.0,,,,,,,,,,,,,423.0,,77605712700016,,,768709.6,6278810.2,EPSG:2154,Circonscription d inspection du 1er degré de Montpellier Centre,43.605013823414,3.850782214940437,"43.605013823414,3.850782214940437",Numéro de rue,1971-03-26,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0341303G,Ecole,Public,SANS OBJET,Ecole maternelle Bertie Albrecht,1  PLACE DE FONTJUN ,,34070 MONTPELLIER,34070,34172,Montpellier,34,Hérault,11,Montpellier,76,Occitanie,1.0,0.0,,,,0467424074,,,ce.0341303G@ac-montpellier.fr,1.0,0.0,0.0,,,,,,,,,,,,,115.0,,21340172200177,,,770167.6,6277442.0,EPSG:2154,Circonscription d'inspection du 1er degré de Montpellier Sud,43.59256116751836,3.868647791134348,"43.592561167518355,3.8686477911343475",Numéro de rue,1972-06-12,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,101,ECOLE MATERNELLE
0342411L,Ecole,Public,SANS OBJET,Ecole primaire Jeanne Moreau,56 rue du 56e régiment d'artillerie ,,34000 MONTPELLIER,34000,34172,Montpellier,34,Hérault,11,Montpellier,76,Occitanie,1.0,1.0,,,,,,,ce.0342411L@ac-montpellier.fr,0.0,0.0,0.0,,,,,,,,,,,,,,,20340172202058,,,,,,Circonscription d inspection du 1er degré de Montpellier Centre,,,,,2019-02-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0342412M,Ecole,Public,SANS OBJET,Ecole primaire Benoïte Groult,99 rue de Puech Villa ,,34090 MONTPELLIER,34090,34172,Montpellier,34,Hérault,11,Montpellier,76,Occitanie,1.0,1.0,,,,,,,ce.0342412M@ac-montpellier.fr,0.0,0.0,0.0,,,,,,,,,,,,,,,21340172202041,,,,,,Circonscription d'inspection du 1er degré de Montpellier Nord,,,,,2019-02-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0342413N,Ecole,Public,SANS OBJET,Ecole primaire Jean d'Ormesson,Avenue des Terrasses du Languedoc ,,34430 ST JEAN DE VEDAS,34430,34270,Saint-Jean-de-Védas,34,Hérault,11,Montpellier,76,Occitanie,1.0,1.0,,,,,,,ce.0342413N@ac-montpellier.fr,0.0,0.0,0.0,,,,,,,,,,,,,,,21340270400166,,,,,,Circonscription d'inspection du 1er degré Saint Jean de Védas - Hérault maternelle,,,,,2019-02-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0383532H,Ecole,Privé,HORS CONTRAT,école primaire  maison d'exploitation SCHOLA NATURA,75 avenue Jean Perrot ,,38000 GRENOBLE,38000,38185,Grenoble,38,Isère,8,Grenoble,84,Auvergne-Rhône-Alpes,1.0,1.0,,,,0651336801,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,914809.0,6456703.0,EPSG:2154,Circonscription d'inspection du 1er degré de Grenoble 1,45.17614685509592,5.735169058868534,"45.17614685509592,5.735169058868534",Numéro de rue,2019-01-01,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0340460R,Ecole,Public,SANS OBJET,Ecole primaire Charles Perrault,11 rue Gaston Baissette ,,34160 MONTAUD,34160,34164,Montaud,34,Hérault,11,Montpellier,76,Occitanie,1.0,1.0,,,,0411950957,,,ce.0340460R@ac-montpellier.fr,0.0,0.0,0.0,,,,,,,,,,,,,99.0,,21340164900024,,,776987.0,6295143.5,EPSG:2154,Circonscription d'inspection du 1er degré de Castelnau le Lez,43.75112113239476,3.955713652759423,"43.75112113239476,3.955713652759423",Numéro de rue,1965-07-10,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
0340474F,Ecole,Public,SANS OBJET,Ecole élémentaire Jeanne d'Arc,9 boulevard des Arceaux ,,34000 MONTPELLIER,34000,34172,Montpellier,34,Hérault,11,Montpellier,76,Occitanie,0.0,1.0,,,,0467923572,,,ce.0340474F@ac-montpellier.fr,1.0,0.0,0.0,,,,,,,,,,,,,134.0,,21340172200110,,,769920.1,6279525.5,EPSG:2154,Circonscription d inspection du 1er degré de Montpellier Centre,43.61133109914723,3.865866904961389,"43.61133109914723,3.865866904961389",Numéro de rue,1965-07-10,2019-09-11,OUVERT,MINISTERE DE L'EDUCATION NATIONALE,0,0.0,,151,ECOLE DE NIVEAU ELEMENTAIRE
