Code du département;Libellé du département;Code de la commune;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Non-Exprimés;% Non-Exp/Ins;% Non-Exp/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Année;Numéro de tour;Métropole
34;Hérault;22;Baillargues;1480;463;31.28;1017;68.72;24;1.62;2.36;993;67.09;97.64;2014;1;Montpellier
34;Hérault;22;Baillargues;1384;409;29.55;975;70.45;22;1.59;2.26;953;68.86;97.74;2014;1;Montpellier
34;Hérault;22;Baillargues;954;225;23.58;729;76.42;16;1.68;2.19;713;74.74;97.81;2014;1;Montpellier
34;Hérault;22;Baillargues;1373;400;29.13;973;70.87;44;3.2;4.52;929;67.66;95.48;2014;1;Montpellier
34;Hérault;27;Beaulieu;1307;424;32.44;883;67.56;135;10.33;15.29;748;57.23;84.71;2014;1;Montpellier
34;Hérault;57;Castelnau-le-Lez;1638;571;34.86;1067;65.14;34;2.08;3.19;1033;63.06;96.81;2014;1;Montpellier
34;Hérault;57;Castelnau-le-Lez;987;465;47.11;522;52.89;25;2.53;4.79;497;50.35;95.21;2014;1;Montpellier
34;Hérault;57;Castelnau-le-Lez;1083;365;33.7;718;66.3;26;2.4;3.62;692;63.9;96.38;2014;1;Montpellier
34;Hérault;57;Castelnau-le-Lez;1241;492;39.65;749;60.35;38;3.06;5.07;711;57.29;94.93;2014;1;Montpellier
34;Hérault;57;Castelnau-le-Lez;924;414;44.81;510;55.19;20;2.16;3.92;490;53.03;96.08;2014;1;Montpellier
34;Hérault;57;Castelnau-le-Lez;934;315;33.73;619;66.27;24;2.57;3.88;595;63.7;96.12;2014;1;Montpellier
34;Hérault;57;Castelnau-le-Lez;1483;632;42.62;851;57.38;42;2.83;4.94;809;54.55;95.06;2014;1;Montpellier
34;Hérault;57;Castelnau-le-Lez;1109;408;36.79;701;63.21;43;3.88;6.13;658;59.33;93.87;2014;1;Montpellier
34;Hérault;57;Castelnau-le-Lez;1229;508;41.33;721;58.67;30;2.44;4.16;691;56.22;95.84;2014;1;Montpellier
34;Hérault;57;Castelnau-le-Lez;1198;501;41.82;697;58.18;24;2.0;3.44;673;56.18;96.56;2014;1;Montpellier
34;Hérault;57;Castelnau-le-Lez;1026;408;39.77;618;60.23;37;3.61;5.99;581;56.63;94.01;2014;1;Montpellier
34;Hérault;57;Castelnau-le-Lez;825;276;33.45;549;66.55;33;4.0;6.01;516;62.55;93.99;2014;1;Montpellier
34;Hérault;58;Castries;1547;439;28.38;1108;71.62;32;2.07;2.89;1076;69.55;97.11;2014;1;Montpellier
34;Hérault;58;Castries;1693;475;28.06;1218;71.94;42;2.48;3.45;1176;69.46;96.55;2014;1;Montpellier
34;Hérault;58;Castries;1386;404;29.15;982;70.85;26;1.88;2.65;956;68.98;97.35;2014;1;Montpellier
34;Hérault;77;Clapiers;993;283;28.5;710;71.5;67;6.75;9.44;643;64.75;90.56;2014;1;Montpellier
34;Hérault;77;Clapiers;1044;273;26.15;771;73.85;44;4.21;5.71;727;69.64;94.29;2014;1;Montpellier
34;Hérault;77;Clapiers;1125;298;26.49;827;73.51;71;6.31;8.59;756;67.2;91.41;2014;1;Montpellier
34;Hérault;77;Clapiers;900;246;27.33;654;72.67;55;6.11;8.41;599;66.56;91.59;2014;1;Montpellier
34;Hérault;87;Cournonsec;1004;391;38.94;613;61.06;99;9.86;16.15;514;51.2;83.85;2014;1;Montpellier
34;Hérault;87;Cournonsec;1044;397;38.03;647;61.97;167;16.0;25.81;480;45.98;74.19;2014;1;Montpellier
34;Hérault;88;Cournonterral;1140;361;31.67;779;68.33;56;4.91;7.19;723;63.42;92.81;2014;1;Montpellier
34;Hérault;88;Cournonterral;1225;395;32.24;830;67.76;54;4.41;6.51;776;63.35;93.49;2014;1;Montpellier
34;Hérault;88;Cournonterral;1077;329;30.55;748;69.45;60;5.57;8.02;688;63.88;91.98;2014;1;Montpellier
34;Hérault;88;Cournonterral;1074;337;31.38;737;68.62;52;4.84;7.06;685;63.78;92.94;2014;1;Montpellier
34;Hérault;90;Le Crès;1213;427;35.2;786;64.8;39;3.22;4.96;747;61.58;95.04;2014;1;Montpellier
34;Hérault;90;Le Crès;1317;418;31.74;899;68.26;32;2.43;3.56;867;65.83;96.44;2014;1;Montpellier
34;Hérault;90;Le Crès;1293;412;31.86;881;68.14;41;3.17;4.65;840;64.97;95.35;2014;1;Montpellier
34;Hérault;90;Le Crès;1231;463;37.61;768;62.39;35;2.84;4.56;733;59.55;95.44;2014;1;Montpellier
34;Hérault;90;Le Crès;1801;612;33.98;1189;66.02;49;2.72;4.12;1140;63.3;95.88;2014;1;Montpellier
34;Hérault;95;Fabrègues;1190;376;31.6;814;68.4;27;2.27;3.32;787;66.13;96.68;2014;1;Montpellier
34;Hérault;95;Fabrègues;1042;285;27.35;757;72.65;18;1.73;2.38;739;70.92;97.62;2014;1;Montpellier
34;Hérault;95;Fabrègues;970;327;33.71;643;66.29;30;3.09;4.67;613;63.2;95.33;2014;1;Montpellier
34;Hérault;95;Fabrègues;1274;428;33.59;846;66.41;19;1.49;2.25;827;64.91;97.75;2014;1;Montpellier
34;Hérault;95;Fabrègues;1001;353;35.26;648;64.74;19;1.9;2.93;629;62.84;97.07;2014;1;Montpellier
34;Hérault;116;Grabels;1372;381;27.77;991;72.23;24;1.75;2.42;967;70.48;97.58;2014;1;Montpellier
34;Hérault;116;Grabels;1071;333;31.09;738;68.91;13;1.21;1.76;725;67.69;98.24;2014;1;Montpellier
34;Hérault;116;Grabels;1236;355;28.72;881;71.28;26;2.1;2.95;855;69.17;97.05;2014;1;Montpellier
34;Hérault;116;Grabels;1134;451;39.77;683;60.23;36;3.17;5.27;647;57.05;94.73;2014;1;Montpellier
34;Hérault;120;Jacou;1138;331;29.09;807;70.91;54;4.75;6.69;753;66.17;93.31;2014;1;Montpellier
34;Hérault;120;Jacou;1082;295;27.26;787;72.74;55;5.08;6.99;732;67.65;93.01;2014;1;Montpellier
34;Hérault;120;Jacou;1013;302;29.81;711;70.19;51;5.03;7.17;660;65.15;92.83;2014;1;Montpellier
34;Hérault;120;Jacou;1184;342;28.89;842;71.11;48;4.05;5.7;794;67.06;94.3;2014;1;Montpellier
34;Hérault;123;Juvignac;984;309;31.4;675;68.6;19;1.93;2.81;656;66.67;97.19;2014;1;Montpellier
34;Hérault;123;Juvignac;982;315;32.08;667;67.92;17;1.73;2.55;650;66.19;97.45;2014;1;Montpellier
34;Hérault;123;Juvignac;903;331;36.66;572;63.34;18;1.99;3.15;554;61.35;96.85;2014;1;Montpellier
34;Hérault;123;Juvignac;913;336;36.8;577;63.2;31;3.4;5.37;546;59.8;94.63;2014;1;Montpellier
34;Hérault;123;Juvignac;881;285;32.35;596;67.65;28;3.18;4.7;568;64.47;95.3;2014;1;Montpellier
34;Hérault;123;Juvignac;827;284;34.34;543;65.66;15;1.81;2.76;528;63.85;97.24;2014;1;Montpellier
34;Hérault;123;Juvignac;724;247;34.12;477;65.88;13;1.8;2.73;464;64.09;97.27;2014;1;Montpellier
34;Hérault;123;Juvignac;154;27;17.53;127;82.47;4;2.6;3.15;123;79.87;96.85;2014;1;Montpellier
34;Hérault;129;Lattes;1292;500;38.7;792;61.3;21;1.63;2.65;771;59.67;97.35;2014;1;Montpellier
34;Hérault;129;Lattes;838;297;35.44;541;64.56;12;1.43;2.22;529;63.13;97.78;2014;1;Montpellier
34;Hérault;129;Lattes;941;314;33.37;627;66.63;27;2.87;4.31;600;63.76;95.69;2014;1;Montpellier
34;Hérault;129;Lattes;626;211;33.71;415;66.29;9;1.44;2.17;406;64.86;97.83;2014;1;Montpellier
34;Hérault;129;Lattes;783;246;31.42;537;68.58;10;1.28;1.86;527;67.31;98.14;2014;1;Montpellier
34;Hérault;129;Lattes;1172;400;34.13;772;65.87;26;2.22;3.37;746;63.65;96.63;2014;1;Montpellier
34;Hérault;129;Lattes;1175;469;39.91;706;60.09;15;1.28;2.12;691;58.81;97.88;2014;1;Montpellier
34;Hérault;129;Lattes;1004;340;33.86;664;66.14;21;2.09;3.16;643;64.04;96.84;2014;1;Montpellier
34;Hérault;129;Lattes;1450;526;36.28;924;63.72;41;2.83;4.44;883;60.9;95.56;2014;1;Montpellier
34;Hérault;129;Lattes;1247;411;32.96;836;67.04;32;2.57;3.83;804;64.47;96.17;2014;1;Montpellier
34;Hérault;129;Lattes;1193;413;34.62;780;65.38;43;3.6;5.51;737;61.78;94.49;2014;1;Montpellier
34;Hérault;129;Lattes;1330;612;46.02;718;53.98;20;1.5;2.79;698;52.48;97.21;2014;1;Montpellier
34;Hérault;134;Lavérune;1063;413;38.85;650;61.15;183;17.22;28.15;467;43.93;71.85;2014;1;Montpellier
34;Hérault;134;Lavérune;1160;396;34.14;764;65.86;182;15.69;23.82;582;50.17;76.18;2014;1;Montpellier
34;Hérault;164;Montaud;759;158;20.82;601;79.18;29;3.82;4.83;572;75.36;95.17;2014;1;Montpellier
34;Hérault;169;Montferrier-sur-Lez;1043;305;29.24;738;70.76;22;2.11;2.98;716;68.65;97.02;2014;1;Montpellier
34;Hérault;169;Montferrier-sur-Lez;1046;308;29.45;738;70.55;14;1.34;1.9;724;69.22;98.1;2014;1;Montpellier
34;Hérault;169;Montferrier-sur-Lez;1125;373;33.16;752;66.84;21;1.87;2.79;731;64.98;97.21;2014;1;Montpellier
34;Hérault;172;Montpellier;1039;613;59.0;426;41.0;10;0.96;2.35;416;40.04;97.65;2014;1;Montpellier
34;Hérault;172;Montpellier;1051;626;59.56;425;40.44;14;1.33;3.29;411;39.11;96.71;2014;1;Montpellier
34;Hérault;172;Montpellier;1009;535;53.02;474;46.98;11;1.09;2.32;463;45.89;97.68;2014;1;Montpellier
