Code du département,Libellé du département,Code de la commune,Libellé de la commune,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Non-Exprimés,% Non-Exp/Ins,% Non-Exp/Vot,Exprimés,% Exp/Ins,% Exp/Vot,Année,Numéro de tour
34,Hérault,022,Baillargues,5846,3259,55.75,2587,44.25,446,7.63,17.24,2141,36.62,82.76,2026,1
34,Hérault,027,Beaulieu,1735,789,45.48,946,54.52,76,4.38,8.03,870,50.14,91.97,2026,1
34,Hérault,057,Castelnau-le-Lez,17950,7575,42.2,10375,57.8,161,0.9,1.55,10214,56.9,98.45,2026,1
34,Hérault,058,Castries,5766,2174,37.7,3592,62.3,112,1.94,3.12,3480,60.35,96.88,2026,1
34,Hérault,077,Clapiers,4762,1487,31.23,3275,68.77,142,2.98,4.34,3133,65.79,95.66,2026,1
34,Hérault,087,Cournonsec,2679,934,34.86,1745,65.14,46,1.72,2.64,1699,63.42,97.36,2026,1
34,Hérault,088,Cournonterral,5680,2270,39.96,3410,60.04,116,2.04,3.4,3294,57.99,96.6,2026,1
34,Hérault,090,Le Crès,7421,2730,36.79,4691,63.21,141,1.9,3.01,4550,61.31,96.99,2026,1
34,Hérault,095,Fabrègues,6105,3362,55.07,2743,44.93,349,5.72,12.72,2394,39.21,87.28,2026,1
34,Hérault,116,Grabels,6121,2518,41.14,3603,58.86,99,1.62,2.75,3504,57.25,97.25,2026,1
34,Hérault,120,Jacou,5129,1852,36.11,3277,63.89,118,2.3,3.6,3159,61.59,96.4,2026,1
34,Hérault,123,Juvignac,8805,4259,48.37,4546,51.63,155,1.76,3.41,4391,49.87,96.59,2026,1
34,Hérault,129,Lattes,14050,5451,38.8,8599,61.2,149,1.06,1.73,8450,60.14,98.27,2026,1
34,Hérault,134,Lavérune,2560,812,31.72,1748,68.28,42,1.64,2.4,1706,66.64,97.6,2026,1
34,Hérault,164,Montaud,863,247,28.62,616,71.38,20,2.32,3.25,596,69.06,96.75,2026,1
34,Hérault,169,Montferrier-sur-Lez,3536,1117,31.59,2419,68.41,35,0.99,1.45,2384,67.42,98.55,2026,1
34,Hérault,172,Montpellier,174968,86736,49.57,88232,50.43,1229,0.7,1.39,87003,49.73,98.61,2026,1
34,Hérault,179,Murviel-lès-Montpellier,1636,802,49.02,834,50.98,148,9.05,17.75,686,41.93,82.25,2026,1
34,Hérault,198,Pérols,8147,2911,35.73,5236,64.27,132,1.62,2.52,5104,62.65,97.48,2026,1
34,Hérault,202,Pignan,6419,3498,54.49,2921,45.51,704,10.97,24.1,2217,34.54,75.9,2026,1
34,Hérault,217,Prades-le-Lez,4881,1844,37.78,3037,62.22,119,2.44,3.92,2918,59.78,96.08,2026,1
34,Hérault,227,Restinclières,1987,1047,52.69,940,47.31,95,4.78,10.11,845,42.53,89.89,2026,1
34,Hérault,244,Saint-Brès,2749,921,33.5,1828,66.5,44,1.6,2.41,1784,64.9,97.59,2026,1
34,Hérault,249,Saint-Drézéry,2503,833,33.28,1670,66.72,53,2.12,3.17,1617,64.6,96.83,2026,1
34,Hérault,256,Saint-Geniès-des-Mourgues,1730,725,41.91,1005,58.09,72,4.16,7.16,933,53.93,92.84,2026,1
34,Hérault,259,Saint-Georges-d'Orques,4526,1862,41.14,2664,58.86,135,2.98,5.07,2529,55.88,94.93,2026,1
34,Hérault,270,Saint-Jean-de-Védas,9955,4096,41.15,5859,58.85,200,2.01,3.41,5659,56.85,96.59,2026,1
34,Hérault,295,Saussan,1609,521,32.38,1088,67.62,23,1.43,2.11,1065,66.19,97.89,2026,1
34,Hérault,307,Sussargues,2514,868,34.53,1646,65.47,30,1.19,1.82,1616,64.28,98.18,2026,1
34,Hérault,327,Vendargues,6036,2085,34.54,3951,65.46,126,2.09,3.19,3825,63.37,96.81,2026,1
34,Hérault,337,Villeneuve-lès-Maguelone,7698,2703,35.11,4995,64.89,130,1.69,2.6,4865,63.2,97.4,2026,1
35,Ille-et-Vilaine,001,Acigné,5582,3003,53.8,2579,46.2,576,10.32,22.33,2003,35.88,77.67,2026,1
35,Ille-et-Vilaine,022,Bécherel,510,234,45.88,276,54.12,51,10.0,18.48,225,44.12,81.52,2026,1
35,Ille-et-Vilaine,024,Betton,9805,4350,44.37,5455,55.63,480,4.9,8.8,4975,50.74,91.2,2026,1
35,Ille-et-Vilaine,032,Bourgbarré,3434,2029,59.09,1405,40.91,267,7.78,19.0,1138,33.14,81.0,2026,1
35,Ille-et-Vilaine,039,Brécé,1699,893,52.56,806,47.44,60,3.53,7.44,746,43.91,92.56,2026,1
35,Ille-et-Vilaine,047,Bruz,14070,5762,40.95,8308,59.05,174,1.24,2.09,8134,57.81,97.91,2026,1
35,Ille-et-Vilaine,051,Cesson-Sévigné,14057,5228,37.19,8829,62.81,181,1.29,2.05,8648,61.52,97.95,2026,1
35,Ille-et-Vilaine,055,Chantepie,7852,3051,38.86,4801,61.14,144,1.83,3.0,4657,59.31,97.0,2026,1
35,Ille-et-Vilaine,058,La Chapelle-Chaussée,972,479,49.28,493,50.72,36,3.7,7.3,457,47.02,92.7,2026,1
35,Ille-et-Vilaine,059,La Chapelle-des-Fougeretz,3734,1970,52.76,1764,47.24,309,8.28,17.52,1455,38.97,82.48,2026,1
35,Ille-et-Vilaine,065,La Chapelle-Thouarault,1731,858,49.57,873,50.43,253,14.62,28.98,620,35.82,71.02,2026,1
35,Ille-et-Vilaine,066,Chartres-de-Bretagne,6215,2650,42.64,3565,57.36,115,1.85,3.23,3450,55.51,96.77,2026,1
35,Ille-et-Vilaine,076,Chavagne,3454,1778,51.48,1676,48.52,255,7.38,15.21,1421,41.14,84.79,2026,1
35,Ille-et-Vilaine,079,Chevaigné,1860,931,50.05,929,49.95,144,7.74,15.5,785,42.2,84.5,2026,1
35,Ille-et-Vilaine,080,Cintré,1961,624,31.82,1337,68.18,47,2.4,3.52,1290,65.78,96.48,2026,1
35,Ille-et-Vilaine,081,Clayes,715,343,47.97,372,52.03,80,11.19,21.51,292,40.84,78.49,2026,1
35,Ille-et-Vilaine,088,Corps-Nuds,2577,775,30.07,1802,69.93,37,1.44,2.05,1765,68.49,97.95,2026,1
35,Ille-et-Vilaine,120,Gévezé,4487,1591,35.46,2896,64.54,68,1.52,2.35,2828,63.03,97.65,2026,1
35,Ille-et-Vilaine,131,L'Hermitage,3335,1791,53.7,1544,46.3,292,8.76,18.91,1252,37.54,81.09,2026,1
35,Ille-et-Vilaine,139,Laillé,4240,1541,36.34,2699,63.66,117,2.76,4.33,2582,60.9,95.67,2026,1
35,Ille-et-Vilaine,144,Langan,881,291,33.03,590,66.97,23,2.61,3.9,567,64.36,96.1,2026,1
35,Ille-et-Vilaine,180,Miniac-sous-Bécherel,587,262,44.63,325,55.37,67,11.41,20.62,258,43.95,79.38,2026,1
35,Ille-et-Vilaine,189,Montgermont,2683,886,33.02,1797,66.98,34,1.27,1.89,1763,65.71,98.11,2026,1
35,Ille-et-Vilaine,196,Mordelles,6222,2495,40.1,3727,59.9,122,1.96,3.27,3605,57.94,96.73,2026,1
35,Ille-et-Vilaine,204,Nouvoitou,2925,958,32.75,1967,67.25,69,2.36,3.51,1898,64.89,96.49,2026,1
35,Ille-et-Vilaine,206,Noyal-Châtillon-sur-Seiche,5344,1880,35.18,3464,64.82,92,1.72,2.66,3372,63.1,97.34,2026,1
35,Ille-et-Vilaine,208,Orgères,3908,1354,34.65,2554,65.35,86,2.2,3.37,2468,63.15,96.63,2026,1
35,Ille-et-Vilaine,210,Pacé,9012,3495,38.78,5517,61.22,78,0.87,1.41,5439,60.35,98.59,2026,1
35,Ille-et-Vilaine,216,Parthenay-de-Bretagne,1325,420,31.7,905,68.3,23,1.74,2.54,882,66.57,97.46,2026,1
35,Ille-et-Vilaine,238,Rennes,128988,53811,41.72,75177,58.28,1180,0.91,1.57,73997,57.37,98.43,2026,1
35,Ille-et-Vilaine,240,Le Rheu,6596,2620,39.72,3976,60.28,120,1.82,3.02,3856,58.46,96.98,2026,1
35,Ille-et-Vilaine,245,Romillé,3012,631,20.95,2381,79.05,43,1.43,1.81,2338,77.62,98.19,2026,1
35,Ille-et-Vilaine,250,Saint-Armel,1775,720,40.56,1055,59.44,37,2.08,3.51,1018,57.35,96.49,2026,1
35,Ille-et-Vilaine,266,Saint-Erblon,2756,1461,53.01,1295,46.99,181,6.57,13.98,1114,40.42,86.02,2026,1
35,Ille-et-Vilaine,275,Saint-Gilles,3613,1599,44.26,2014,55.74,226,6.26,11.22,1788,49.49,88.78,2026,1
35,Ille-et-Vilaine,278,Saint-Grégoire,8044,3028,37.64,5016,62.36,77,0.96,1.54,4939,61.4,98.46,2026,1
35,Ille-et-Vilaine,281,Saint-Jacques-de-la-Lande,8319,3927,47.21,4392,52.79,113,1.36,2.57,4279,51.44,97.43,2026,1
35,Ille-et-Vilaine,315,Saint-Sulpice-la-Forêt,1224,583,47.63,641,52.37,80,6.54,12.48,561,45.83,87.52,2026,1
35,Ille-et-Vilaine,334,Thorigné-Fouillard,6594,2354,35.7,4240,64.3,132,2.0,3.11,4108,62.3,96.89,2026,1
35,Ille-et-Vilaine,351,Le Verger,1082,494,45.66,588,54.34,84,7.76,14.29,504,46.58,85.71,2026,1
35,Ille-et-Vilaine,352,Vern-sur-Seiche,6749,2500,37.04,4249,62.96,96,1.42,2.26,4153,61.54,97.74,2026,1
35,Ille-et-Vilaine,353,Vezin-le-Coquet,3710,1422,38.33,2288,61.67,50,1.35,2.19,2238,60.32,97.81,2026,1
35,Ille-et-Vilaine,363,Pont-Péan,3468,1451,41.84,2017,58.16,90,2.6,4.46,1927,55.57,95.54,2026,1
38,Isère,057,Bresson,573,112,19.55,461,80.45,7,1.22,1.52,454,79.23,98.48,2026,1
38,Isère,059,Brié-et-Angonnes,2175,498,22.9,1677,77.1,24,1.1,1.43,1653,76.0,98.57,2026,1
38,Isère,068,Champagnier,1094,258,23.58,836,76.42,12,1.1,1.44,824,75.32,98.56,2026,1
38,Isère,071,Champ-sur-Drac,2502,973,38.89,1529,61.11,41,1.64,2.68,1488,59.47,97.32,2026,1
38,Isère,111,Claix,6780,2886,42.57,3894,57.43,94,1.39,2.41,3800,56.05,97.59,2026,1
38,Isère,126,Corenc,3466,1263,36.44,2203,63.56,54,1.56,2.45,2149,62.0,97.55,2026,1
38,Isère,150,Domène,5192,1974,38.02,3218,61.98,32,0.62,0.99,3186,61.36,99.01,2026,1
38,Isère,151,Echirolles,21500,11781,54.8,9719,45.2,205,0.95,2.11,9514,44.25,97.89,2026,1
38,Isère,158,Eybens,7222,3144,43.53,4078,56.47,107,1.48,2.62,3971,54.98,97.38,2026,1
38,Isère,169,Fontaine,13525,6626,48.99,6899,51.01,158,1.17,2.29,6741,49.84,97.71,2026,1
38,Isère,170,Fontanil-Cornillon,2497,1272,50.94,1225,49.06,210,8.41,17.14,1015,40.65,82.86,2026,1
38,Isère,179,Gières,4727,2013,42.59,2714,57.41,69,1.46,2.54,2645,55.96,97.46,2026,1
