Date_Ref;Code_INSEE;Quotient familial;Nom_Commune;Nombre foyers NDUR;Nombre personnes NDUR;Montant total NDUR;Nombre foyers NDURPAJE;Nombre personnes NDURPAJE;Montant total NDURPAJE;Nombre foyers NDUREJ;Nombre personnes NDUREJ;Montant total NDUREJ;Nombre foyers NDURAL;Nombre personnes NDURAL;Montant total NDURAL;Nombre foyers NDURINS;Nombre personnes NDURINS;Montant total NDURINS;Annee;Nom_Commune_Norm;Agglomeration
2023-12;76005;Entre 2000 et 3999 euros;AMFREVILLE LA MI VOIE;35;125;6900;10;40;3200;25;100;2800;0;0;0;0;0;0;2023;AMFREVILLE LA MI VOIE;Rouen
2023-12;76020;Inconnu;ANNEVILLE AMBOURVILLE;10;10;1400;0;0;0;0;0;0;0;0;0;10;10;1400;2023;ANNEVILLE AMBOURVILLE;Rouen
2023-12;76039;Inconnu;LES AUTHIEUX SUR LE PORT SAINT OUEN;5;5;1500;0;0;0;0;0;0;0;0;300;5;5;1200;2023;LES AUTHIEUX SUR LE PORT SAINT OUEN;Rouen
2023-12;76069;Entre 400 et 799 euros;BELBEUF;60;120;30700;5;10;900;20;65;6100;25;55;5900;40;80;11500;2023;BELBEUF;Rouen
2023-12;76069;Entre 2000 et 3999 euros;BELBEUF;60;235;8600;5;25;2400;55;235;5200;0;0;0;0;0;0;2023;BELBEUF;Rouen
2023-12;76069;4000 euros ou plus;BELBEUF;10;35;900;0;0;0;10;35;400;0;0;0;0;0;0;2023;BELBEUF;Rouen
2023-12;76088;Moins de 400 euros;BERVILLE SUR SEINE;5;15;4500;0;0;200;0;10;900;5;10;1000;5;5;2400;2023;BERVILLE SUR SEINE;Rouen
2023-12;76095;Entre 800 et 1199 euros;BIHOREL;280;680;105900;30;125;12900;115;440;34900;60;150;9100;180;330;31200;2023;BIHOREL;Rouen
2023-12;76095;Entre 1600 et 1999 euros;BIHOREL;65;255;17700;10;40;2500;55;235;13200;0;0;0;5;10;1000;2023;BIHOREL;Rouen
2023-12;76103;Moins de 400 euros;BONSECOURS;155;235;68900;5;30;1300;25;80;7400;90;150;22200;95;135;35500;2023;BONSECOURS;Rouen
2023-12;76103;Entre 2000 et 3999 euros;BONSECOURS;95;385;12600;15;50;3000;85;360;8700;0;0;0;0;0;0;2023;BONSECOURS;Rouen
2023-12;76103;4000 euros ou plus;BONSECOURS;15;55;1200;5;10;500;10;50;600;0;0;0;0;0;0;2023;BONSECOURS;Rouen
2023-12;76116;Entre 1200 et 1599 euros;BOOS;100;400;38100;30;110;14300;80;340;18200;0;5;400;10;30;1900;2023;BOOS;Rouen
2023-12;76116;Entre 1600 et 1999 euros;BOOS;85;325;25400;25;95;9500;65;275;12000;0;0;0;0;0;0;2023;BOOS;Rouen
2023-12;76116;Inconnu;BOOS;30;45;5400;0;5;700;5;15;1000;0;0;400;20;20;3000;2023;BOOS;Rouen
2023-12;76131;Moins de 400 euros;LA BOUILLE;10;20;5300;0;0;0;0;10;1000;0;0;600;10;15;3700;2023;LA BOUILLE;Rouen
2023-12;76131;Entre 1200 et 1599 euros;LA BOUILLE;15;45;5000;5;15;2000;10;30;1600;0;0;0;0;5;200;2023;LA BOUILLE;Rouen
2023-12;76131;Entre 1600 et 1999 euros;LA BOUILLE;10;30;1900;0;5;600;5;20;1200;0;0;0;0;5;200;2023;LA BOUILLE;Rouen
2023-12;76131;Entre 2000 et 3999 euros;LA BOUILLE;5;25;800;0;5;200;5;20;600;0;0;0;0;0;0;2023;LA BOUILLE;Rouen
2023-12;76131;Inconnu;LA BOUILLE;10;10;2200;0;0;0;0;0;0;5;5;800;5;5;1400;2023;LA BOUILLE;Rouen
2023-12;76157;Entre 1600 et 1999 euros;CANTELEU;70;260;17000;15;50;3700;55;210;8800;0;5;500;5;10;700;2023;CANTELEU;Rouen
2023-12;76157;4000 euros ou plus;CANTELEU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;CANTELEU;Rouen
2023-12;76165;Entre 800 et 1199 euros;CAUDEBEC LES ELBEUF;450;1290;202500;65;245;23400;215;900;72500;110;310;20000;260;540;47800;2023;CAUDEBEC LES ELBEUF;Rouen
2023-12;76178;Entre 1600 et 1999 euros;CLEON;30;105;5100;5;10;1000;25;95;3900;0;5;100;0;0;0;2023;CLEON;Rouen
2023-12;76178;Entre 2000 et 3999 euros;CLEON;15;55;5000;5;20;1600;10;40;1100;0;0;0;0;0;0;2023;CLEON;Rouen
2023-12;76212;Entre 400 et 799 euros;DARNETAL;1225;2585;954900;145;570;44700;410;1545;196200;925;2095;211500;650;1630;247900;2023;DARNETAL;Rouen
2023-12;76212;Entre 1200 et 1599 euros;DARNETAL;140;485;56600;50;190;19800;80;340;17400;10;25;2700;35;85;7100;2023;DARNETAL;Rouen
2023-12;76212;Entre 1600 et 1999 euros;DARNETAL;60;225;16300;15;55;5400;45;185;8300;0;5;200;0;5;400;2023;DARNETAL;Rouen
2023-12;76212;Inconnu;DARNETAL;245;290;55800;0;5;300;5;15;600;160;180;29700;100;120;24900;2023;DARNETAL;Rouen
2023-12;76216;Moins de 400 euros;DEVILLE LES ROUEN;675;1010;309400;40;160;14700;80;300;30500;480;735;115100;415;640;141200;2023;DEVILLE LES ROUEN;Rouen
2023-12;76216;Entre 800 et 1199 euros;DEVILLE LES ROUEN;535;1225;214400;80;295;37800;175;655;42900;130;320;24100;365;660;75400;2023;DEVILLE LES ROUEN;Rouen
2023-12;76216;Entre 1200 et 1599 euros;DEVILLE LES ROUEN;170;585;67300;55;195;24900;95;390;19000;10;25;2400;35;85;5200;2023;DEVILLE LES ROUEN;Rouen
